genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
metamdbg_8915_SemiBin_66.fa,9_1,0.050000000000000044,average,fastANI,9
metamdbg_nextpolish_8366_SemiBin_100.fa,9_1,0.050000000000000044,average,fastANI,9
metamdbg_nextpolish_8915_SemiBin_126.fa,9_1,0.050000000000000044,average,fastANI,9
myloasm_8366_SemiBin_156.fa,9_1,0.050000000000000044,average,fastANI,9
myloasm_8915_SemiBin_131.fa,9_1,0.050000000000000044,average,fastANI,9
myloasm_nextpolish_8366_SemiBin_157.fa,9_1,0.050000000000000044,average,fastANI,9
myloasm_nextpolish_8915_SemiBin_147.fa,9_1,0.050000000000000044,average,fastANI,9
flye_8915_SemiBin_94.fa,10_1,0.050000000000000044,average,fastANI,10
flye_nextpolish_8915_SemiBin_33.fa,10_1,0.050000000000000044,average,fastANI,10
hybridspades_8915_SemiBin_112.fa,10_1,0.050000000000000044,average,fastANI,10
metamdbg_8915_SemiBin_77.fa,10_1,0.050000000000000044,average,fastANI,10
metamdbg_nextpolish_8915_SemiBin_61.fa,10_1,0.050000000000000044,average,fastANI,10
myloasm_8915_SemiBin_101.fa,10_1,0.050000000000000044,average,fastANI,10
myloasm_nextpolish_8373_SemiBin_79.fa,10_1,0.050000000000000044,average,fastANI,10
myloasm_nextpolish_8915_SemiBin_97.fa,10_1,0.050000000000000044,average,fastANI,10
opera_ms_8915_SemiBin_96.fa,10_1,0.050000000000000044,average,fastANI,10
flye_8915_SemiBin_161.fa,11_1,0.050000000000000044,average,fastANI,11
flye_nextpolish_8915_SemiBin_11.fa,11_1,0.050000000000000044,average,fastANI,11
hybridspades_8915_SemiBin_70.fa,11_1,0.050000000000000044,average,fastANI,11
metamdbg_8915_SemiBin_9.fa,11_1,0.050000000000000044,average,fastANI,11
metamdbg_nextpolish_8915_SemiBin_107.fa,11_1,0.050000000000000044,average,fastANI,11
myloasm_8915_SemiBin_24.fa,11_1,0.050000000000000044,average,fastANI,11
myloasm_nextpolish_8915_SemiBin_50.fa,11_1,0.050000000000000044,average,fastANI,11
opera_ms_8915_SemiBin_79.fa,11_1,0.050000000000000044,average,fastANI,11
flye_8366_SemiBin_51.fa,12_1,0.050000000000000044,average,fastANI,12
flye_nextpolish_8366_SemiBin_2.fa,12_1,0.050000000000000044,average,fastANI,12
hybridspades_8366_SemiBin_162.fa,12_1,0.050000000000000044,average,fastANI,12
metamdbg_8366_SemiBin_19.fa,12_1,0.050000000000000044,average,fastANI,12
metamdbg_nextpolish_8366_SemiBin_8.fa,12_1,0.050000000000000044,average,fastANI,12
opera_ms_8366_SemiBin_97.fa,12_1,0.050000000000000044,average,fastANI,12
myloasm_nextpolish_8373_SemiBin_137.fa,13_0,0.050000000000000044,average,fastANI,13
flye_4143_SemiBin_25.fa,14_1,0.050000000000000044,average,fastANI,14
flye_8366_SemiBin_323.fa,14_1,0.050000000000000044,average,fastANI,14
flye_8915_SemiBin_321.fa,14_1,0.050000000000000044,average,fastANI,14
flye_nextpolish_4143_SemiBin_25.fa,14_1,0.050000000000000044,average,fastANI,14
flye_nextpolish_8366_SemiBin_347.fa,14_1,0.050000000000000044,average,fastANI,14
flye_nextpolish_8373_SemiBin_93.fa,14_1,0.050000000000000044,average,fastANI,14
flye_nextpolish_8915_SemiBin_332.fa,14_1,0.050000000000000044,average,fastANI,14
hybridspades_4143_SemiBin_73.fa,14_1,0.050000000000000044,average,fastANI,14
hybridspades_8366_SemiBin_45.fa,14_1,0.050000000000000044,average,fastANI,14
hybridspades_8915_SemiBin_59.fa,14_1,0.050000000000000044,average,fastANI,14
metamdbg_4143_SemiBin_112.fa,14_1,0.050000000000000044,average,fastANI,14
metamdbg_8366_SemiBin_126.fa,14_1,0.050000000000000044,average,fastANI,14
metamdbg_8915_SemiBin_296.fa,14_1,0.050000000000000044,average,fastANI,14
metamdbg_nextpolish_4143_SemiBin_137.fa,14_1,0.050000000000000044,average,fastANI,14
metamdbg_nextpolish_8366_SemiBin_122.fa,14_1,0.050000000000000044,average,fastANI,14
metamdbg_nextpolish_8915_SemiBin_308.fa,14_1,0.050000000000000044,average,fastANI,14
myloasm_4143_SemiBin_34.fa,14_1,0.050000000000000044,average,fastANI,14
myloasm_8366_SemiBin_36.fa,14_1,0.050000000000000044,average,fastANI,14
myloasm_8373_SemiBin_75.fa,14_1,0.050000000000000044,average,fastANI,14
myloasm_nextpolish_4143_SemiBin_7.fa,14_1,0.050000000000000044,average,fastANI,14
myloasm_nextpolish_8366_SemiBin_73.fa,14_1,0.050000000000000044,average,fastANI,14
myloasm_nextpolish_8373_SemiBin_29.fa,14_1,0.050000000000000044,average,fastANI,14
opera_ms_4143_SemiBin_39.fa,14_1,0.050000000000000044,average,fastANI,14
opera_ms_8366_SemiBin_23.fa,14_1,0.050000000000000044,average,fastANI,14
opera_ms_8915_SemiBin_16.fa,14_1,0.050000000000000044,average,fastANI,14
flye_0942_SemiBin_138.fa,15_1,0.050000000000000044,average,fastANI,15
flye_4143_SemiBin_24.fa,15_1,0.050000000000000044,average,fastANI,15
flye_8366_SemiBin_300.fa,15_1,0.050000000000000044,average,fastANI,15
flye_8373_SemiBin_61.fa,15_1,0.050000000000000044,average,fastANI,15
flye_8915_SemiBin_207.fa,15_1,0.050000000000000044,average,fastANI,15
flye_nextpolish_0942_SemiBin_139.fa,15_1,0.050000000000000044,average,fastANI,15
flye_nextpolish_4143_SemiBin_21.fa,15_1,0.050000000000000044,average,fastANI,15
flye_nextpolish_8366_SemiBin_281.fa,15_1,0.050000000000000044,average,fastANI,15
flye_nextpolish_8915_SemiBin_204.fa,15_1,0.050000000000000044,average,fastANI,15
hybridspades_0942_SemiBin_31.fa,15_1,0.050000000000000044,average,fastANI,15
hybridspades_4143_SemiBin_195.fa,15_1,0.050000000000000044,average,fastANI,15
hybridspades_8366_SemiBin_34.fa,15_1,0.050000000000000044,average,fastANI,15
hybridspades_8373_SemiBin_177.fa,15_1,0.050000000000000044,average,fastANI,15
hybridspades_8915_SemiBin_136.fa,15_1,0.050000000000000044,average,fastANI,15
metamdbg_0942_SemiBin_25.fa,15_1,0.050000000000000044,average,fastANI,15
metamdbg_8366_SemiBin_123.fa,15_1,0.050000000000000044,average,fastANI,15
metamdbg_8915_SemiBin_1.fa,15_1,0.050000000000000044,average,fastANI,15
metamdbg_nextpolish_0942_SemiBin_34.fa,15_1,0.050000000000000044,average,fastANI,15
metamdbg_nextpolish_8366_SemiBin_142.fa,15_1,0.050000000000000044,average,fastANI,15
metamdbg_nextpolish_8373_SemiBin_6.fa,15_1,0.050000000000000044,average,fastANI,15
metamdbg_nextpolish_8915_SemiBin_158.fa,15_1,0.050000000000000044,average,fastANI,15
myloasm_0942_SemiBin_11.fa,15_1,0.050000000000000044,average,fastANI,15
myloasm_4143_SemiBin_27.fa,15_1,0.050000000000000044,average,fastANI,15
myloasm_8366_SemiBin_91.fa,15_1,0.050000000000000044,average,fastANI,15
myloasm_8373_SemiBin_10.fa,15_1,0.050000000000000044,average,fastANI,15
myloasm_nextpolish_0942_SemiBin_6.fa,15_1,0.050000000000000044,average,fastANI,15
myloasm_nextpolish_4143_SemiBin_45.fa,15_1,0.050000000000000044,average,fastANI,15
myloasm_nextpolish_8366_SemiBin_96.fa,15_1,0.050000000000000044,average,fastANI,15
myloasm_nextpolish_8373_SemiBin_11.fa,15_1,0.050000000000000044,average,fastANI,15
opera_ms_0942_SemiBin_19.fa,15_1,0.050000000000000044,average,fastANI,15
opera_ms_4143_SemiBin_202.fa,15_1,0.050000000000000044,average,fastANI,15
opera_ms_8366_SemiBin_2.fa,15_1,0.050000000000000044,average,fastANI,15
opera_ms_8373_SemiBin_149.fa,15_1,0.050000000000000044,average,fastANI,15
opera_ms_8915_SemiBin_91.fa,15_1,0.050000000000000044,average,fastANI,15
myloasm_nextpolish_0942_SemiBin_90.fa,16_0,0.050000000000000044,average,fastANI,16
flye_8915_SemiBin_346.fa,17_1,0.050000000000000044,average,fastANI,17
flye_nextpolish_8915_SemiBin_342.fa,17_1,0.050000000000000044,average,fastANI,17
hybridspades_8915_SemiBin_15.fa,17_1,0.050000000000000044,average,fastANI,17
metamdbg_8915_SemiBin_369.fa,17_1,0.050000000000000044,average,fastANI,17
metamdbg_nextpolish_8915_SemiBin_373.fa,17_1,0.050000000000000044,average,fastANI,17
opera_ms_8915_SemiBin_37.fa,17_1,0.050000000000000044,average,fastANI,17
flye_4143_SemiBin_95.fa,18_1,0.050000000000000044,average,fastANI,18
flye_nextpolish_4143_SemiBin_177.fa,18_1,0.050000000000000044,average,fastANI,18
metamdbg_4143_SemiBin_117.fa,18_1,0.050000000000000044,average,fastANI,18
metamdbg_nextpolish_4143_SemiBin_133.fa,18_1,0.050000000000000044,average,fastANI,18
opera_ms_4143_SemiBin_55.fa,18_1,0.050000000000000044,average,fastANI,18
flye_0942_SemiBin_99.fa,19_1,0.050000000000000044,average,fastANI,19
flye_8915_SemiBin_28.fa,19_1,0.050000000000000044,average,fastANI,19
flye_nextpolish_0942_SemiBin_109.fa,19_1,0.050000000000000044,average,fastANI,19
flye_nextpolish_8366_SemiBin_8.fa,19_1,0.050000000000000044,average,fastANI,19
flye_nextpolish_8915_SemiBin_4.fa,19_1,0.050000000000000044,average,fastANI,19
hybridspades_0942_SemiBin_44.fa,19_1,0.050000000000000044,average,fastANI,19
hybridspades_4143_SemiBin_19.fa,19_1,0.050000000000000044,average,fastANI,19
metamdbg_0942_SemiBin_209.fa,19_1,0.050000000000000044,average,fastANI,19
metamdbg_4143_SemiBin_184.fa,19_1,0.050000000000000044,average,fastANI,19
metamdbg_nextpolish_0942_SemiBin_213.fa,19_1,0.050000000000000044,average,fastANI,19
metamdbg_nextpolish_4143_SemiBin_142.fa,19_1,0.050000000000000044,average,fastANI,19
myloasm_0942_SemiBin_46.fa,19_1,0.050000000000000044,average,fastANI,19
myloasm_4143_SemiBin_36.fa,19_1,0.050000000000000044,average,fastANI,19
myloasm_nextpolish_0942_SemiBin_48.fa,19_1,0.050000000000000044,average,fastANI,19
myloasm_nextpolish_4143_SemiBin_57.fa,19_1,0.050000000000000044,average,fastANI,19
opera_ms_0942_SemiBin_1.fa,19_1,0.050000000000000044,average,fastANI,19
flye_8366_SemiBin_57.fa,20_1,0.050000000000000044,average,fastANI,20
flye_8915_SemiBin_301.fa,20_1,0.050000000000000044,average,fastANI,20
flye_nextpolish_8366_SemiBin_131.fa,20_1,0.050000000000000044,average,fastANI,20
flye_nextpolish_8915_SemiBin_158.fa,20_1,0.050000000000000044,average,fastANI,20
hybridspades_8366_SemiBin_10.fa,20_1,0.050000000000000044,average,fastANI,20
metamdbg_8366_SemiBin_165.fa,20_1,0.050000000000000044,average,fastANI,20
metamdbg_8915_SemiBin_180.fa,20_1,0.050000000000000044,average,fastANI,20
metamdbg_nextpolish_8366_SemiBin_182.fa,20_1,0.050000000000000044,average,fastANI,20
metamdbg_nextpolish_8915_SemiBin_231.fa,20_1,0.050000000000000044,average,fastANI,20
myloasm_8366_SemiBin_179.fa,20_1,0.050000000000000044,average,fastANI,20
myloasm_nextpolish_8366_SemiBin_186.fa,20_1,0.050000000000000044,average,fastANI,20
opera_ms_8366_SemiBin_1.fa,20_1,0.050000000000000044,average,fastANI,20
opera_ms_8915_SemiBin_0.fa,20_1,0.050000000000000044,average,fastANI,20
flye_8373_SemiBin_109.fa,21_1,0.050000000000000044,average,fastANI,21
flye_nextpolish_8373_SemiBin_82.fa,21_1,0.050000000000000044,average,fastANI,21
hybridspades_8373_SemiBin_61.fa,21_1,0.050000000000000044,average,fastANI,21
metamdbg_8373_SemiBin_2.fa,21_1,0.050000000000000044,average,fastANI,21
metamdbg_nextpolish_8373_SemiBin_5.fa,21_1,0.050000000000000044,average,fastANI,21
myloasm_8373_SemiBin_138.fa,21_1,0.050000000000000044,average,fastANI,21
myloasm_nextpolish_8373_SemiBin_147.fa,21_1,0.050000000000000044,average,fastANI,21
opera_ms_8373_SemiBin_60.fa,21_1,0.050000000000000044,average,fastANI,21
metamdbg_4143_SemiBin_135.fa,22_1,0.050000000000000044,average,fastANI,22
metamdbg_nextpolish_4143_SemiBin_45.fa,22_1,0.050000000000000044,average,fastANI,22
myloasm_4143_SemiBin_79.fa,22_1,0.050000000000000044,average,fastANI,22
flye_4143_SemiBin_244.fa,22_2,0.050000000000000044,average,fastANI,22
flye_nextpolish_4143_SemiBin_237.fa,22_2,0.050000000000000044,average,fastANI,22
hybridspades_4143_SemiBin_11.fa,22_2,0.050000000000000044,average,fastANI,22
opera_ms_4143_SemiBin_6.fa,22_2,0.050000000000000044,average,fastANI,22
flye_8366_SemiBin_310.fa,23_1,0.050000000000000044,average,fastANI,23
flye_nextpolish_8366_SemiBin_315.fa,23_1,0.050000000000000044,average,fastANI,23
hybridspades_8366_SemiBin_5.fa,23_1,0.050000000000000044,average,fastANI,23
metamdbg_8366_SemiBin_53.fa,23_1,0.050000000000000044,average,fastANI,23
metamdbg_nextpolish_8366_SemiBin_13.fa,23_1,0.050000000000000044,average,fastANI,23
myloasm_8366_SemiBin_372.fa,23_1,0.050000000000000044,average,fastANI,23
myloasm_nextpolish_8366_SemiBin_387.fa,23_1,0.050000000000000044,average,fastANI,23
opera_ms_8366_SemiBin_59.fa,23_1,0.050000000000000044,average,fastANI,23
flye_nextpolish_8915_SemiBin_340.fa,23_2,0.050000000000000044,average,fastANI,23
hybridspades_8915_SemiBin_7.fa,23_2,0.050000000000000044,average,fastANI,23
metamdbg_8915_SemiBin_248.fa,23_2,0.050000000000000044,average,fastANI,23
metamdbg_nextpolish_8915_SemiBin_288.fa,23_2,0.050000000000000044,average,fastANI,23
opera_ms_8915_SemiBin_35.fa,23_2,0.050000000000000044,average,fastANI,23
flye_8373_SemiBin_262.fa,24_1,0.050000000000000044,average,fastANI,24
flye_nextpolish_8373_SemiBin_273.fa,24_1,0.050000000000000044,average,fastANI,24
hybridspades_8373_SemiBin_37.fa,24_1,0.050000000000000044,average,fastANI,24
metamdbg_8373_SemiBin_405.fa,24_1,0.050000000000000044,average,fastANI,24
metamdbg_nextpolish_8373_SemiBin_430.fa,24_1,0.050000000000000044,average,fastANI,24
myloasm_8373_SemiBin_133.fa,24_1,0.050000000000000044,average,fastANI,24
myloasm_nextpolish_8373_SemiBin_133.fa,24_1,0.050000000000000044,average,fastANI,24
opera_ms_8373_SemiBin_46.fa,24_1,0.050000000000000044,average,fastANI,24
flye_8915_SemiBin_357.fa,25_1,0.050000000000000044,average,fastANI,25
flye_nextpolish_8915_SemiBin_338.fa,25_1,0.050000000000000044,average,fastANI,25
hybridspades_8915_SemiBin_47.fa,25_1,0.050000000000000044,average,fastANI,25
metamdbg_8915_SemiBin_109.fa,25_1,0.050000000000000044,average,fastANI,25
metamdbg_nextpolish_8915_SemiBin_56.fa,25_1,0.050000000000000044,average,fastANI,25
opera_ms_8915_SemiBin_15.fa,25_1,0.050000000000000044,average,fastANI,25
hybridspades_8915_SemiBin_8.fa,25_2,0.050000000000000044,average,fastANI,25
flye_8915_SemiBin_252.fa,26_1,0.050000000000000044,average,fastANI,26
flye_nextpolish_8373_SemiBin_145.fa,26_1,0.050000000000000044,average,fastANI,26
flye_nextpolish_8915_SemiBin_215.fa,26_1,0.050000000000000044,average,fastANI,26
hybridspades_8366_SemiBin_4.fa,26_1,0.050000000000000044,average,fastANI,26
hybridspades_8915_SemiBin_41.fa,26_1,0.050000000000000044,average,fastANI,26
metamdbg_8366_SemiBin_373.fa,26_1,0.050000000000000044,average,fastANI,26
metamdbg_8915_SemiBin_362.fa,26_1,0.050000000000000044,average,fastANI,26
metamdbg_nextpolish_8366_SemiBin_372.fa,26_1,0.050000000000000044,average,fastANI,26
metamdbg_nextpolish_8915_SemiBin_369.fa,26_1,0.050000000000000044,average,fastANI,26
myloasm_8366_SemiBin_377.fa,26_1,0.050000000000000044,average,fastANI,26
myloasm_nextpolish_8366_SemiBin_381.fa,26_1,0.050000000000000044,average,fastANI,26
myloasm_nextpolish_8373_SemiBin_23.fa,26_1,0.050000000000000044,average,fastANI,26
opera_ms_8366_SemiBin_18.fa,26_1,0.050000000000000044,average,fastANI,26
opera_ms_8915_SemiBin_50.fa,26_1,0.050000000000000044,average,fastANI,26
flye_nextpolish_8366_SemiBin_45.fa,27_1,0.050000000000000044,average,fastANI,27
hybridspades_8366_SemiBin_72.fa,27_1,0.050000000000000044,average,fastANI,27
metamdbg_8366_SemiBin_16.fa,27_1,0.050000000000000044,average,fastANI,27
myloasm_nextpolish_8366_SemiBin_50.fa,27_1,0.050000000000000044,average,fastANI,27
hybridspades_8373_SemiBin_1.fa,28_1,0.050000000000000044,average,fastANI,28
metamdbg_8373_SemiBin_255.fa,28_1,0.050000000000000044,average,fastANI,28
metamdbg_nextpolish_8373_SemiBin_269.fa,28_1,0.050000000000000044,average,fastANI,28
myloasm_8373_SemiBin_50.fa,28_1,0.050000000000000044,average,fastANI,28
myloasm_nextpolish_8373_SemiBin_35.fa,28_1,0.050000000000000044,average,fastANI,28
opera_ms_8373_SemiBin_7.fa,28_1,0.050000000000000044,average,fastANI,28
myloasm_nextpolish_8366_SemiBin_51.fa,29_0,0.050000000000000044,average,fastANI,29
hybridspades_0942_SemiBin_1.fa,30_1,0.050000000000000044,average,fastANI,30
metamdbg_0942_SemiBin_196.fa,30_1,0.050000000000000044,average,fastANI,30
metamdbg_8366_SemiBin_98.fa,30_1,0.050000000000000044,average,fastANI,30
metamdbg_nextpolish_0942_SemiBin_202.fa,30_1,0.050000000000000044,average,fastANI,30
metamdbg_nextpolish_8366_SemiBin_28.fa,30_1,0.050000000000000044,average,fastANI,30
myloasm_8366_SemiBin_10.fa,30_1,0.050000000000000044,average,fastANI,30
myloasm_nextpolish_8366_SemiBin_41.fa,30_1,0.050000000000000044,average,fastANI,30
opera_ms_0942_SemiBin_6.fa,30_1,0.050000000000000044,average,fastANI,30
hybridspades_8915_SemiBin_120.fa,31_1,0.050000000000000044,average,fastANI,31
metamdbg_nextpolish_8915_SemiBin_13.fa,31_1,0.050000000000000044,average,fastANI,31
flye_nextpolish_8373_SemiBin_16.fa,31_2,0.050000000000000044,average,fastANI,31
metamdbg_8915_SemiBin_21.fa,32_1,0.050000000000000044,average,fastANI,32
metamdbg_nextpolish_8915_SemiBin_10.fa,32_1,0.050000000000000044,average,fastANI,32
myloasm_8915_SemiBin_39.fa,32_1,0.050000000000000044,average,fastANI,32
myloasm_nextpolish_8915_SemiBin_29.fa,32_1,0.050000000000000044,average,fastANI,32
flye_nextpolish_8915_SemiBin_69.fa,33_1,0.050000000000000044,average,fastANI,33
hybridspades_8915_SemiBin_68.fa,33_1,0.050000000000000044,average,fastANI,33
metamdbg_8915_SemiBin_22.fa,33_1,0.050000000000000044,average,fastANI,33
metamdbg_nextpolish_8915_SemiBin_11.fa,33_1,0.050000000000000044,average,fastANI,33
myloasm_8915_SemiBin_38.fa,33_1,0.050000000000000044,average,fastANI,33
myloasm_nextpolish_8915_SemiBin_28.fa,33_1,0.050000000000000044,average,fastANI,33
opera_ms_8915_SemiBin_4.fa,33_1,0.050000000000000044,average,fastANI,33
flye_4143_SemiBin_0.fa,34_1,0.050000000000000044,average,fastANI,34
flye_8366_SemiBin_297.fa,34_1,0.050000000000000044,average,fastANI,34
flye_8373_SemiBin_105.fa,34_1,0.050000000000000044,average,fastANI,34
flye_8915_SemiBin_157.fa,34_1,0.050000000000000044,average,fastANI,34
flye_nextpolish_4143_SemiBin_104.fa,34_1,0.050000000000000044,average,fastANI,34
flye_nextpolish_8366_SemiBin_277.fa,34_1,0.050000000000000044,average,fastANI,34
flye_nextpolish_8373_SemiBin_38.fa,34_1,0.050000000000000044,average,fastANI,34
flye_nextpolish_8915_SemiBin_9.fa,34_1,0.050000000000000044,average,fastANI,34
hybridspades_4143_SemiBin_148.fa,34_1,0.050000000000000044,average,fastANI,34
hybridspades_8373_SemiBin_149.fa,34_1,0.050000000000000044,average,fastANI,34
hybridspades_8915_SemiBin_138.fa,34_1,0.050000000000000044,average,fastANI,34
metamdbg_4143_SemiBin_6.fa,34_1,0.050000000000000044,average,fastANI,34
metamdbg_8366_SemiBin_130.fa,34_1,0.050000000000000044,average,fastANI,34
metamdbg_8373_SemiBin_32.fa,34_1,0.050000000000000044,average,fastANI,34
metamdbg_8915_SemiBin_17.fa,34_1,0.050000000000000044,average,fastANI,34
metamdbg_nextpolish_0942_SemiBin_6.fa,34_1,0.050000000000000044,average,fastANI,34
metamdbg_nextpolish_4143_SemiBin_56.fa,34_1,0.050000000000000044,average,fastANI,34
metamdbg_nextpolish_8366_SemiBin_45.fa,34_1,0.050000000000000044,average,fastANI,34
metamdbg_nextpolish_8373_SemiBin_49.fa,34_1,0.050000000000000044,average,fastANI,34
metamdbg_nextpolish_8915_SemiBin_40.fa,34_1,0.050000000000000044,average,fastANI,34
myloasm_0942_SemiBin_62.fa,34_1,0.050000000000000044,average,fastANI,34
myloasm_4143_SemiBin_71.fa,34_1,0.050000000000000044,average,fastANI,34
myloasm_8366_SemiBin_71.fa,34_1,0.050000000000000044,average,fastANI,34
myloasm_nextpolish_0942_SemiBin_61.fa,34_1,0.050000000000000044,average,fastANI,34
myloasm_nextpolish_4143_SemiBin_74.fa,34_1,0.050000000000000044,average,fastANI,34
myloasm_nextpolish_8366_SemiBin_74.fa,34_1,0.050000000000000044,average,fastANI,34
opera_ms_4143_SemiBin_71.fa,34_1,0.050000000000000044,average,fastANI,34
opera_ms_8366_SemiBin_9.fa,34_1,0.050000000000000044,average,fastANI,34
opera_ms_8373_SemiBin_103.fa,34_1,0.050000000000000044,average,fastANI,34
opera_ms_8915_SemiBin_65.fa,34_1,0.050000000000000044,average,fastANI,34
flye_8915_SemiBin_129.fa,35_1,0.050000000000000044,average,fastANI,35
flye_nextpolish_8915_SemiBin_355.fa,35_1,0.050000000000000044,average,fastANI,35
hybridspades_8915_SemiBin_61.fa,35_1,0.050000000000000044,average,fastANI,35
metamdbg_8915_SemiBin_20.fa,35_1,0.050000000000000044,average,fastANI,35
metamdbg_nextpolish_8915_SemiBin_9.fa,35_1,0.050000000000000044,average,fastANI,35
myloasm_nextpolish_8373_SemiBin_1.fa,35_1,0.050000000000000044,average,fastANI,35
opera_ms_8915_SemiBin_3.fa,35_1,0.050000000000000044,average,fastANI,35
flye_0942_SemiBin_132.fa,36_1,0.050000000000000044,average,fastANI,36
flye_8366_SemiBin_311.fa,36_1,0.050000000000000044,average,fastANI,36
flye_nextpolish_0942_SemiBin_124.fa,36_1,0.050000000000000044,average,fastANI,36
