user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings
hybridspades_0942_SemiBin_157	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCF_040097785.1, s__Veillonella parvula_D, 96.76, 92.77, 0.689; GCF_024461875.1, s__Veillonella parvula_I, 96.34, 92.77, 0.685; GCA_018382475.1, s__Veillonella parvula_F, 96.75, 92.53, 0.69; GCF_002847925.1, s__Veillonella parvula_H, 96.08, 92.41, 0.691; GCA_018376995.1, s__Veillonella sp018376995, 95.0, 92.39, 0.69; GCF_040094895.1, s__Veillonella parvula_L, 96.37, 92.38, 0.689; GCF_018783925.1, s__Veillonella parvula_A, 96.37, 92.37, 0.704; GCF_018378075.1, s__Veillonella parvula_K, 96.75, 92.35, 0.68; GCF_032550495.1, s__Veillonella parvula_G, 96.63, 92.32, 0.699; GCA_032483415.1, s__Veillonella sp032483415, 96.76, 92.16, 0.692; GCF_014306175.1, s__Veillonella hominis, 95.84, 92.16, 0.69; GCF_036456085.1, s__Veillonella parvula_E, 96.38, 92.13, 0.685; GCF_905209685.1, s__Veillonella sp905209685, 95.04, 92.1, 0.65; GCA_032480995.1, s__Veillonella sp032480995, 96.1, 92.05, 0.689; GCF_032470285.1, s__Veillonella sp032470285, 96.37, 91.99, 0.697; GCF_032575955.1, s__Veillonella parvula_J, 96.37, 91.87, 0.701; GCA_915066865.1, s__Veillonella sp915066865, 96.36, 91.81, 0.665; GCA_902466275.1, s__Veillonella sp902466275, 96.69, 91.72, 0.409; GCF_915069625.1, s__Veillonella sp915069625, 95.18, 91.67, 0.618; GCF_019414865.1, s__Veillonella sp019414865, 95.0, 91.54, 0.625; GCF_937975875.1, s__Veillonella dispar_B, 95.07, 91.47, 0.644; GCF_000024945.1, s__Veillonella parvula, 95.74, 91.45, 0.689; GCF_003463825.1, s__Veillonella sp003463825, 95.0, 91.43, 0.683; GCF_900637515.1, s__Veillonella dispar, 95.03, 91.4, 0.72; GCF_040094025.1, s__Veillonella fallax, 95.0, 91.4, 0.707; GCA_902489125.1, s__Veillonella sp902489125, 95.0, 91.4, 0.534; GCF_900545205.1, s__Veillonella sp900545205, 95.0, 91.38, 0.641; GCA_902477915.1, s__Veillonella sp902477915, 95.0, 91.26, 0.652; GCF_002959755.1, s__Veillonella sp002959755, 95.06, 91.25, 0.701; GCF_041333735.1, s__Veillonella sp041333735, 95.0, 91.25, 0.695; GCF_900538355.1, s__Veillonella sp900538355, 95.0, 91.19, 0.698; GCA_902478055.1, s__Veillonella sp902478055, 95.0, 91.09, 0.533; GCA_934216375.1, s__Veillonella sp934216375, 96.5, 91.06, 0.499; GCF_013393365.1, s__Veillonella nakazawae, 95.14, 91.04, 0.683; GCA_900757715.1, s__Veillonella sp900757715, 95.0, 91.03, 0.616; GCA_019419725.1, s__Veillonella sp019419725, 95.0, 90.97, 0.582; GCA_032482215.1, s__Veillonella sp032482215, 95.0, 90.97, 0.525; GCA_900549845.1, s__Veillonella sp900549845, 95.0, 90.94, 0.569; GCF_945949885.1, s__Veillonella parvula_B, 96.09, 90.9, 0.632; GCA_900766125.1, s__Veillonella sp900766125, 95.0, 90.83, 0.457; GCA_947096075.1, s__Veillonella parvula_C, 96.2, 90.81, 0.571; GCA_900552715.1, s__Veillonella sp900552715, 95.0, 90.76, 0.614; GCF_018381775.1, s__Veillonella sp018381775, 95.05, 90.63, 0.674; GCF_002959775.1, s__Veillonella rogosae, 95.0, 90.63, 0.662; GCA_900550175.1, s__Veillonella sp900550175, 95.0, 90.6, 0.54; GCF_002959895.1, s__Veillonella infantium, 95.34, 90.42, 0.676; GCF_963524655.1, s__Veillonella sp963524655, 95.0, 90.25, 0.646; GCA_934183145.1, s__Veillonella sp934183145, 95.0, 89.99, 0.506; GCA_900552445.1, s__Veillonella sp900552445, 95.0, 89.94, 0.434; GCA_958351665.1, s__Veillonella infantium_A, 95.0, 89.91, 0.417; GCA_900556785.1, s__Veillonella sp900556785, 95.0, 89.8, 0.51; GCF_938010505.1, s__Veillonella sp938010505, 95.0, 89.78, 0.616; GCF_934190855.1, s__Veillonella sp934190855, 95.0, 89.68, 0.516; GCF_963543145.1, s__Veillonella sp963543145, 95.0, 89.63, 0.615; GCF_963522475.1, s__Veillonella sp963522475, 95.0, 89.51, 0.597; GCA_959608595.1, s__Veillonella sp959608595, 95.55, 88.95, 0.364; GCA_934202215.1, s__Veillonella sp934202215, 95.0, 88.81, 0.407; GCF_001078375.1, s__Veillonella tobetsuensis, 95.0, 86.66, 0.253; GCF_002959915.1, s__Veillonella atypica, 95.0, 86.61, 0.272; GCF_041431535.1, s__Veillonella sp934202095, 95.0, 86.45, 0.248; GCF_963534045.1, s__Veillonella sp963534045, 95.0, 85.87, 0.225; GCF_002959855.1, s__Veillonella denticariosi, 95.0, 85.23, 0.192; GCF_934230905.1, s__Veillonella sp934230905, 95.0, 85.14, 0.181; GCA_905214495.1, s__Veillonella sp905214495, 95.0, 85.06, 0.18; GCF_900187285.1, s__Veillonella rodentium, 95.12, 84.25, 0.153"	33.44	11	0.98602	Genome has more than 10.0% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
hybridspades_0942_SemiBin_28	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A fusiformis	GCF_020687435.1	96.97	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A fusiformis	98.21	0.881	GCF_020687435.1	96.97	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A fusiformis	98.21	0.881	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCF_902167715.1, s__Blautia_A luti_A, 96.82, 96.92, 0.801; GCF_005848555.1, s__Blautia_A sp005848555, 96.6, 96.78, 0.837; GCA_958454115.1, s__Blautia_A wexlerae_C, 95.0, 94.42, 0.405; GCF_013304735.1, s__Blautia_A sp900066205, 95.0, 90.32, 0.66; GCA_003461955.1, s__Blautia_A sp900066335, 95.0, 89.83, 0.626; GCA_003474435.1, s__Blautia_A sp003474435, 95.0, 89.12, 0.528; GCA_963616205.1, s__Blautia_A sp963616205, 95.0, 88.88, 0.438; GCF_013304825.1, s__Blautia_A schinkii_B, 95.51, 88.52, 0.527; GCF_040096615.1, s__Blautia_A aquisgranensis, 95.0, 86.31, 0.418; GCA_963598855.1, s__Blautia_A sp963598855, 95.0, 85.67, 0.38; GCA_963642325.1, s__Blautia_A sp963642325, 95.0, 85.08, 0.361; GCF_934373235.1, s__Blautia_A sp934373235, 95.0, 83.36, 0.196"	94.08	11	N/A	N/A
hybridspades_0942_SemiBin_32	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pilosibacter;s__Pilosibacter fragilis	GCF_032490495.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pilosibacter;s__Pilosibacter fragilis	97.8	0.783	GCF_032490495.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pilosibacter;s__Pilosibacter fragilis	97.8	0.783	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pilosibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCA_902496665.1, s__Pilosibacter sp902496665, 95.0, 94.1, 0.732; GCA_003480435.1, s__Pilosibacter sp900066055, 95.0, 93.43, 0.649; GCA_934370915.1, s__Pilosibacter sp934370915, 95.0, 91.32, 0.578; GCA_963622995.1, s__Pilosibacter sp963622995, 95.0, 89.68, 0.513; GCA_003478035.1, s__Pilosibacter sp900066785, 95.0, 88.92, 0.462; GCA_963646925.1, s__Pilosibacter sp963646925, 95.0, 88.42, 0.477"	94.78	11	N/A	N/A
hybridspades_0942_SemiBin_33	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp003471165	GCA_003471165.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp003471165	97.89	0.79	GCA_003471165.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp003471165	97.89	0.79	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCF_025148125.1, s__Blautia_A wexlerae, 95.13, 88.63, 0.375; GCF_013300825.1, s__Blautia_A wexlerae_B, 95.0, 88.19, 0.351; GCF_018919065.1, s__Blautia_A sp018919065, 95.0, 86.82, 0.315; GCF_014297245.1, s__Blautia_A difficilis, 95.0, 86.45, 0.214; GCA_958454115.1, s__Blautia_A wexlerae_C, 95.0, 86.34, 0.189; GCA_003477525.1, s__Blautia_A sp003477525, 95.0, 85.95, 0.27; GCA_934437695.1, s__Blautia_A sp934437695, 95.0, 85.34, 0.263; GCF_934416185.1, s__Blautia_A sp934416185, 95.0, 84.79, 0.264; GCF_033096465.1, s__Blautia_A luti, 95.0, 84.62, 0.206; GCA_963605995.1, s__Blautia_A sp963605995, 95.0, 84.17, 0.168"	84.65	11	N/A	N/A
hybridspades_0942_SemiBin_36	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	N/A	N/A	N/A	N/A	N/A	GCF_025148125.1	95.13	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	94.63	0.423	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCF_013300825.1, s__Blautia_A wexlerae_B, 95.0, 92.43, 0.33; GCA_003471165.1, s__Blautia_A sp003471165, 95.0, 91.54, 0.285; GCA_958454115.1, s__Blautia_A wexlerae_C, 95.0, 90.83, 0.203; GCF_018919065.1, s__Blautia_A sp018919065, 95.0, 87.43, 0.168; GCF_014297245.1, s__Blautia_A difficilis, 95.0, 87.23, 0.152; GCA_003477525.1, s__Blautia_A sp003477525, 95.0, 85.89, 0.157; GCA_934437695.1, s__Blautia_A sp934437695, 95.0, 85.33, 0.214; GCF_934416185.1, s__Blautia_A sp934416185, 95.0, 84.76, 0.167"	37.15	11	0.99781	N/A
hybridspades_0942_SemiBin_43	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominiventricola;s__Hominiventricola filiformis	GCF_020686965.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominiventricola;s__Hominiventricola filiformis	97.39	0.811	GCF_020686965.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominiventricola;s__Hominiventricola filiformis	97.39	0.811	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominiventricola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCA_018223365.1, s__Hominiventricola sp018223365, 95.0, 93.21, 0.55; GCA_963604695.1, s__Hominiventricola sp963604695, 95.0, 86.39, 0.403; GCA_963623675.1, s__Hominiventricola sp963623675, 95.0, 85.2, 0.363"	90.55	11	N/A	N/A
hybridspades_0942_SemiBin_49	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__Brotaphodocola sp003480315	GCF_964246085.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__Brotaphodocola sp003480315	97.28	0.811	GCF_964246085.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__Brotaphodocola sp003480315	97.28	0.811	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCF_003478505.1, s__Brotaphodocola sp003478505, 95.0, 91.23, 0.614; GCF_040096075.1, s__Brotaphodocola faecis, 95.0, 87.4, 0.505; GCA_963645005.1, s__Brotaphodocola sp963645005, 95.0, 85.89, 0.365; GCF_003481985.1, s__Brotaphodocola sp003506385, 95.0, 85.58, 0.305; GCF_003481825.1, s__Brotaphodocola sp003481825, 95.0, 85.46, 0.287; GCA_934394615.1, s__Brotaphodocola sp934394615, 95.0, 83.9, 0.259; GCA_963642615.1, s__Brotaphodocola sp963642615, 95.0, 82.45, 0.198; GCA_963589345.1, s__Brotaphodocola sp963589345, 95.0, 82.07, 0.197"	70.95	11	N/A	N/A
hybridspades_0942_SemiBin_53	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	GCF_016027375.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	98.09	0.888	GCF_016027375.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	98.09	0.888	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCA_029258205.1, s__Sarcina sp029258205, 95.0, 91.45, 0.622; GCA_034421775.1, s__Sarcina perfringens_B, 95.0, 87.99, 0.522; GCF_034439435.1, s__Sarcina sp034439435, 95.0, 87.63, 0.526; GCF_029267215.1, s__Sarcina sp029267215, 95.0, 83.86, 0.228"	76.29	11	N/A	N/A
hybridspades_0942_SemiBin_54	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Allisonella;s__Allisonella histaminiformans	GCF_900103425.1	95	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Allisonella;s__Allisonella histaminiformans	95.43	0.809	GCF_900103425.1	95	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Allisonella;s__Allisonella histaminiformans	95.43	0.809	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Allisonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	87.75	11	N/A	N/A
hybridspades_0942_SemiBin_86	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Neoanaerotignum_A;s__Neoanaerotignum_A sp934256695	GCA_934256695.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Neoanaerotignum_A;s__Neoanaerotignum_A sp934256695	97.69	0.854	GCA_934256695.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Neoanaerotignum_A;s__Neoanaerotignum_A sp934256695	97.69	0.854	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Neoanaerotignum_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	72.4	11	N/A	N/A
hybridspades_4143_SemiBin_109	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominiventricola;s__Hominiventricola aquisgranensis	GCF_040096225.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominiventricola;s__Hominiventricola aquisgranensis	97.6	0.806	GCF_040096225.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominiventricola;s__Hominiventricola aquisgranensis	97.6	0.806	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominiventricola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	76.49	11	N/A	N/A
hybridspades_4143_SemiBin_132	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	GCF_900106845.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	99.01	0.816	GCF_900106845.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	99.01	0.816	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCF_900015215.1, s__Romboutsia ilealis, 95.0, 91.86, 0.56; GCA_937880075.1, s__Romboutsia sp937880075, 95.0, 90.96, 0.488; GCF_904418825.1, s__Romboutsia sp904418825, 95.0, 89.7, 0.468; GCF_018336475.1, s__Romboutsia sp018336475, 95.0, 86.75, 0.374"	62.41	11	N/A	N/A
hybridspades_4143_SemiBin_135	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp000432375	GCA_025757645.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp000432375	97.9	0.915	GCA_025757645.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp000432375	97.9	0.915	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCA_900317855.1, s__CAG-103 sp900317855, 95.0, 93.91, 0.818; GCA_934589185.1, s__CAG-103 sp934589185, 95.43, 93.39, 0.69; GCA_900757655.1, s__CAG-103 sp900757655, 95.0, 93.13, 0.79; GCA_963627135.1, s__CAG-103 sp963627135, 95.0, 92.8, 0.768; GCA_900543625.1, s__CAG-103 sp900543625, 95.0, 90.75, 0.731; GCA_934591895.1, s__CAG-103 sp934591895, 95.0, 90.66, 0.736; GCA_905215475.1, s__CAG-103 sp905215475, 95.0, 90.27, 0.696"	62.03	11	N/A	N/A
hybridspades_4143_SemiBin_16	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Coprobacillus;s__Coprobacillus cateniformis	GCF_009767585.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Coprobacillus;s__Coprobacillus cateniformis	98.5	0.893	GCF_009767585.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Coprobacillus;s__Coprobacillus cateniformis	98.5	0.893	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	92.97	11	N/A	N/A
hybridspades_4143_SemiBin_26	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas coprocola	GCF_018408575.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas coprocola	99.09	0.848	GCF_018408575.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas coprocola	99.09	0.848	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCF_020687045.1, s__Vescimonas cirricatena, 95.0, 82.59, 0.211; GCA_000435975.1, s__Vescimonas sp000435975, 95.0, 81.73, 0.16"	92.61	11	N/A	N/A
hybridspades_4143_SemiBin_27	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I ramulus	GCF_000469345.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I ramulus	97.44	0.838	GCF_000469345.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I ramulus	97.44	0.838	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCA_022781925.1, s__Eubacterium_I sp022781925, 95.0, 87.68, 0.545; GCF_934295145.1, s__Eubacterium_I sp934295145, 95.0, 86.25, 0.382; GCA_963587975.1, s__Eubacterium_I sp963587975, 95.0, 85.87, 0.28; GCA_934358495.1, s__Eubacterium_I sp934358495, 95.0, 85.78, 0.347; GCF_003122485.1, s__Eubacterium_I ramulus_A, 95.0, 85.48, 0.298; GCA_934317205.1, s__Eubacterium_I sp934317205, 95.0, 85.28, 0.293; GCA_900546495.1, s__Eubacterium_I sp900546495, 95.0, 84.83, 0.278; GCA_902475415.1, s__Eubacterium_I sp902475415, 95.0, 84.15, 0.17; GCA_963617435.1, s__Eubacterium_I sp963617435, 95.0, 84.13, 0.284; GCA_963659325.1, s__Eubacterium_I sp963659325, 95.0, 83.87, 0.285"	86.62	11	N/A	N/A
hybridspades_4143_SemiBin_32	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mesosutterella;s__Mesosutterella multiformis	GCF_003402575.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mesosutterella;s__Mesosutterella multiformis	99.18	0.902	GCF_003402575.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mesosutterella;s__Mesosutterella multiformis	99.18	0.902	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mesosutterella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCF_001182045.1, s__Mesosutterella massiliensis, 95.0, 94.01, 0.866"	98.23	11	N/A	N/A
hybridspades_4143_SemiBin_45	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__UMGS1071 sp900542375	GCA_900542375.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__UMGS1071 sp900542375	98.89	0.915	GCA_900542375.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__UMGS1071 sp900542375	98.89	0.915	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCA_900541905.1, s__UMGS1071 sp900541905, 95.0, 94.37, 0.808; GCA_900548305.1, s__UMGS1071 sp900548305, 95.0, 90.93, 0.819; GCA_944384835.1, s__UMGS1071 sp944384835, 95.0, 87.73, 0.653"	89.46	11	N/A	N/A
hybridspades_4143_SemiBin_56	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385	GCA_003514385.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385	96.2	0.893	GCA_003514385.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385	96.2	0.893	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCA_963592475.1, s__CAG-177 sp963592475, 95.0, 95.17, 0.839; GCA_002451755.1, s__CAG-177 sp002451755, 95.0, 94.35, 0.814; GCA_002438685.1, s__CAG-177 sp002438685, 95.0, 94.05, 0.832; GCA_963620555.1, s__CAG-177 sp963620555, 95.0, 90.76, 0.735; GCA_963612725.1, s__CAG-177 sp963612725, 95.0, 90.68, 0.747; GCA_003538135.1, s__CAG-177 sp003538135, 95.0, 89.38, 0.693; GCA_900770255.1, s__CAG-177 sp900770255, 95.0, 80.85, 0.225"	92.93	11	N/A	N/A
hybridspades_4143_SemiBin_57	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis	GCF_000205025.1	95.74	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis	98.83	0.836	GCF_000205025.1	95.74	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis	98.83	0.836	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCA_002492145.1, s__Parasutterella sp900552195, 95.0, 95.44, 0.796; GCF_900766055.1, s__Parasutterella sp900766055, 95.0, 91.25, 0.674; GCA_019113195.1, s__Parasutterella gallistercoris, 95.0, 91.02, 0.74; GCA_900554375.1, s__Parasutterella sp900554375, 95.0, 88.48, 0.51"	93.92	11	N/A	N/A
