file	num_seqs	sum_len	min_len	avg_len	max_len	sum_gap	N50	N50_num	GC(%)	sum_n	sum_hm_mags	contamination
/Files/huyongjie/supplementary_assembly/flye2.9.6/5178_assembly.fasta	7265	213949623	327	29449.4	2995845	0	193179	180	45.58	0	29	
/Files/huyongjie/supplementary_assembly/flye2.9.6/4143_assembly.fasta	11012	399247233	10	36255.7	3599243	0	127755	484	45.73	0	37	
/Files/huyongjie/supplementary_assembly/raven1.8.3_sr/W202607240072718/3068/genome.nextpolish.fasta	2144	110012488	1614	51311.8	2197958	0	99191	239	42.67	0	22	3.49840678
/Files/huyongjie/supplementary_assembly/raven1.8.3_sr/W202607240072716/8915/genome.nextpolish.fasta	4199	367787609	1241	87589.3	2400156	0	172371	485	44.69	0	18	
/Files/huyongjie/supplementary_assembly/raven1.8.3_sr/W202607240072713/4143/genome.nextpolish.fasta	3395	242153472	1045	71326.5	2140688	0	145630	407	44.9	0	11	
/Files/huyongjie/supplementary_assembly/raven1.8.3_sr/W202607240072720/934/genome.nextpolish.fasta	1994	154780054	1662	77622.9	2233763	0	196643	176	43.7	0	45	
/Files/huyongjie/supplementary_assembly/raven1.8.3_sr/W202607240072719/2118/genome.nextpolish.fasta	905	64862197	1576	71670.9	2891673	0	275326	50	43.39	0	25	
/Files/huyongjie/supplementary_assembly/raven1.8.3_sr/W202607240072717/5178/genome.nextpolish.fasta	1253	123754193	2124	98766.3	2027405	0	266917	102	44.46	0	55	
/Files/huyongjie/supplementary_assembly/raven1.8.3_sr/W202607240072712/942/genome.nextpolish.fasta	1353	147677114	1416	109147.9	2384195	0	253758	150	44.47	0	50	
/Files/huyongjie/supplementary_assembly/raven1.8.3_sr/W202607240072714/8366/genome.nextpolish.fasta	2952	326267520	2752	110524.2	2871937	0	229473	319	45.47	0	39	
/Files/huyongjie/supplementary_assembly/raven1.8.3_sr/W202607240072715/8373/genome.nextpolish.fasta	2815	252977520	1931	89867.7	3519304	0	181872	325	45.32	0	30	
/Files/huyongjie/supplementary_assembly/raven1.8.3/W202607230036005/5178_raven_contigs.fasta	1253	123662966	2113	98693.5	2026535	0	266664	102	44.42	0	40	4.740214592
/Files/huyongjie/supplementary_assembly/raven1.8.3/W202607230036000/942_raven_contigs.fasta	1353	147606031	1410	109095.4	2381154	0	253683	150	44.45	0	42	
/Files/huyongjie/supplementary_assembly/raven1.8.3/W202607230036004/8915_raven_contigs.fasta	4199	367449823	1243	87508.9	2393268	0	172839	484	44.65	0	39	
/Files/huyongjie/supplementary_assembly/raven1.8.3/W202607230036001/4143_raven_contigs.fasta	3395	241901726	1043	71252.3	2140491	0	144920	407	44.86	0	9	
/Files/huyongjie/supplementary_assembly/raven1.8.3/W202607230036007/2118_raven_contigs.fasta	905	64849312	1576	71656.7	2891171	0	275321	50	43.39	0	17	
/Files/huyongjie/supplementary_assembly/raven1.8.3/W202607230036002/8366_raven_contigs.fasta	2952	325968203	2736	110422.8	2871799	0	229416	319	45.43	0	27	
/Files/huyongjie/supplementary_assembly/raven1.8.3/W202607230036008/934_raven_contigs.fasta	1994	154610047	1652	77537.6	2233197	0	198072	175	43.67	0	21	
/Files/huyongjie/supplementary_assembly/raven1.8.3/W202607230036006/3068_raven_contigs.fasta	2144	109950083	1589	51282.7	2197284	0	99137	238	42.59	0	17	
/Files/huyongjie/supplementary_assembly/raven1.8.3/W202607230036003/8373_raven_contigs.fasta	2815	252685057	1931	89763.8	3519063	0	181802	325	45.26	0	21	
/Files/huyongjie/supplementary_assembly/MyLoasm/W202607220041347/8366_myloasm/assembly_primary.fa	6379	580408260	1119	90987.3	7442962	0	792384	137	46.21	0	57	4.124138817
/Files/huyongjie/supplementary_assembly/MyLoasm/W202607220041350/5178_myloasm/assembly_primary.fa	5944	248517089	1129	41809.7	3713031	0	229120	145	45.59	0	73	
/Files/huyongjie/supplementary_assembly/MyLoasm/W202607220041349/8915_myloasm/assembly_primary.fa	11165	696446577	1126	62377.7	5724753	0	328321	293	46.37	0	65	
/Files/huyongjie/supplementary_assembly/MyLoasm/W202607220041351/3068_myloasm/assembly_primary.fa	12585	243997889	1028	19388	2976152	0	38445	844	44.6	0	20	
/Files/huyongjie/supplementary_assembly/MyLoasm/W202607220041348/8373_myloasm/assembly_primary.fa	9460	515627654	1077	54506.1	6301184	0	215017	291	46.42	0	36	
/Files/huyongjie/supplementary_assembly/MyLoasm/W202607220041346/4143_myloasm/assembly_primary.fa	10178	483647666	1055	47518.9	4865907	0	151858	351	45.93	0	12	
/Files/huyongjie/supplementary_assembly/MyLoasm/W202607220041352/2118_myloasm/assembly_primary.fa	7918	175187785	1145	22125.3	3273298	0	40070	566	44.4	0	26	
/Files/huyongjie/supplementary_assembly/MyLoasm/W202607220041345/942_myloasm/assembly_primary.fa	5408	315092976	1082	58264.2	7975891	0	291655	118	44.78	0	28	
/Files/huyongjie/supplementary_assembly/MyLoasm/W202607220041353/934_myloasm/assembly_primary.fa	11065	322424828	1040	29139.2	3908989	0	95339	402	45.53	0	72	
