user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
HybridSPAdes_3068_SemiBin_3	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__URXU01;s__URXU01 sp900552005	GCA_900552005.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__URXU01;s__URXU01 sp900552005	99.01	0.957	GCA_900552005.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__URXU01;s__URXU01 sp900552005	99.01	0.957	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__URXU01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_949285135.1, s__URXU01 sp949285135, 95.0, 81.98, 0.315; GCA_900541915.1, s__URXU01 sp900541915, 95.0, 81.92, 0.353; GCA_900545025.1, s__URXU01 sp900545025, 95.0, 81.83, 0.343; GCA_947629685.1, s__URXU01 sp947629685, 95.0, 81.69, 0.297	95.87	11	N/A	N/A
HybridSPAdes_3068_SemiBin_4	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	GCF_000020225.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.15	0.922	GCF_000020225.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.15	0.922	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_905200945.1, s__Akkermansia sp905200945, 95.0, 94.7, 0.855; GCF_030848305.1, s__Akkermansia muciniphila_A, 95.0, 94.13, 0.852; GCF_023516715.1, s__Akkermansia massiliensis, 95.02, 87.98, 0.602; GCA_947624785.1, s__Akkermansia muciniphila_F, 95.0, 87.6, 0.579; GCF_002884975.1, s__Akkermansia muciniphila_C, 95.0, 85.81, 0.523; GCF_040616545.1, s__Akkermansia muciniphila_E, 95.0, 85.68, 0.495; GCF_020860705.1, s__Akkermansia sp020860705, 95.0, 85.02, 0.473; GCF_026072915.1, s__Akkermansia biwaensis, 95.0, 82.19, 0.287; GCA_021202525.1, s__Akkermansia sp021202525, 95.0, 82.13, 0.292; GCF_036417355.1, s__Akkermansia sp004167605, 95.0, 81.9, 0.282	92.85	11	N/A	N/A
HybridSPAdes_3068_SemiBin_5	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	GCF_000225345.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	98.32	0.921	GCF_000225345.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	98.32	0.921	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902781225.1, s__Roseburia sp902781225, 95.0, 95.03, 0.817	63.68	11	N/A	N/A
HybridSPAdes_3068_SemiBin_71	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003538135	GCA_003538135.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003538135	97.74	0.873	GCA_003538135.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003538135	97.74	0.873	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003514385.1, s__CAG-177 sp003514385, 95.0, 89.49, 0.666; GCA_963592475.1, s__CAG-177 sp963592475, 95.0, 88.95, 0.629; GCA_002451755.1, s__CAG-177 sp002451755, 95.0, 87.76, 0.55; GCA_002438685.1, s__CAG-177 sp002438685, 95.0, 87.38, 0.579; GCA_963620555.1, s__CAG-177 sp963620555, 95.0, 86.81, 0.542; GCA_963612725.1, s__CAG-177 sp963612725, 95.0, 86.79, 0.55; GCA_900770255.1, s__CAG-177 sp900770255, 95.0, 80.27, 0.172	88.98	11	N/A	N/A
HybridSPAdes_3068_SemiBin_75	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435555	GCA_000435555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435555	97.33	0.767	GCA_000435555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435555	97.33	0.767	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002438575.1, s__Vescimonas sp002438575, 95.0, 93.74, 0.619; GCA_934623575.1, s__Vescimonas sp934623575, 95.0, 87.92, 0.421; GCA_003487665.1, s__Vescimonas sp003487665, 95.0, 87.65, 0.398; GCA_934590325.1, s__Vescimonas sp934590325, 95.0, 87.21, 0.481; GCA_963628195.1, s__Vescimonas sp963628195, 95.0, 86.4, 0.395; GCA_945878665.1, s__Vescimonas sp945878665, 95.0, 85.2, 0.281; GCA_900550585.1, s__Vescimonas sp900550585, 95.0, 85.13, 0.223; GCA_963632705.1, s__Vescimonas sp963632705, 95.0, 84.93, 0.322; GCA_934591815.1, s__Vescimonas sp934591815, 95.0, 84.7, 0.243; GCA_900551995.1, s__Vescimonas sp900551995, 95.0, 84.64, 0.318; GCA_934591745.1, s__Vescimonas sp934591745, 95.0, 84.57, 0.187; GCA_900554275.1, s__Vescimonas sp900554275, 95.0, 84.38, 0.234; GCA_900547745.1, s__Vescimonas sp900547745, 95.0, 84.28, 0.215; GCA_900551355.1, s__Vescimonas sp900551355, 95.0, 84.27, 0.195; GCA_900545495.1, s__Vescimonas sp900545495, 95.0, 84.03, 0.242; GCA_934589835.1, s__Vescimonas sp934589835, 95.0, 83.65, 0.186; GCA_900545585.1, s__Vescimonas sp900545585, 95.0, 83.24, 0.221; GCA_963613145.1, s__Vescimonas sp963613145, 95.0, 82.53, 0.184	52.54	11	N/A	N/A
HybridSPAdes_3068_SemiBin_76	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900545495	GCA_900545495.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900545495	97.22	0.796	GCA_900545495.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900545495	97.22	0.796	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934591815.1, s__Vescimonas sp934591815, 95.0, 94.58, 0.729; GCA_900551355.1, s__Vescimonas sp900551355, 95.0, 90.18, 0.546; GCA_900550585.1, s__Vescimonas sp900550585, 95.0, 89.11, 0.554; GCA_934591745.1, s__Vescimonas sp934591745, 95.0, 88.95, 0.504; GCA_900547745.1, s__Vescimonas sp900547745, 95.0, 88.66, 0.528; GCA_900545585.1, s__Vescimonas sp900545585, 95.0, 87.55, 0.475; GCA_934589835.1, s__Vescimonas sp934589835, 95.0, 87.4, 0.456; GCA_000435555.1, s__Vescimonas sp000435555, 95.0, 85.42, 0.244; GCA_002438575.1, s__Vescimonas sp002438575, 95.0, 84.82, 0.241; GCA_934623575.1, s__Vescimonas sp934623575, 95.0, 83.7, 0.218; GCA_934590325.1, s__Vescimonas sp934590325, 95.0, 83.58, 0.245; GCA_900551995.1, s__Vescimonas sp900551995, 95.0, 83.42, 0.246; GCA_945878665.1, s__Vescimonas sp945878665, 95.0, 83.33, 0.229; GCA_003487665.1, s__Vescimonas sp003487665, 95.0, 83.28, 0.235; GCA_963632705.1, s__Vescimonas sp963632705, 95.0, 83.27, 0.245; GCA_900554275.1, s__Vescimonas sp900554275, 95.0, 82.83, 0.214; GCA_963628195.1, s__Vescimonas sp963628195, 95.0, 81.73, 0.164	59.65	11	N/A	N/A
HybridSPAdes_3068_SemiBin_89	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludihabitans;s__Paludihabitans sp900543295	GCA_900543295.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludihabitans;s__Paludihabitans sp900543295	99.67	0.889	GCA_900543295.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludihabitans;s__Paludihabitans sp900543295	99.67	0.889	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludihabitans;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	90.19	11	N/A	N/A
HybridSPAdes_4143_SemiBin_0	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp900319575	GCA_900319575.1	95.0	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp900319575	98.25	0.951	GCA_900319575.1	95.0	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp900319575	98.25	0.951	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900546145.1, s__Desulfovibrio sp900546145, 95.0, 93.85, 0.898	92.67	11	N/A	N/A
HybridSPAdes_4143_SemiBin_10	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mesosutterella;s__Mesosutterella multiformis	GCF_003402575.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mesosutterella;s__Mesosutterella multiformis	99.13	0.897	GCF_003402575.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mesosutterella;s__Mesosutterella multiformis	99.13	0.897	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mesosutterella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001182045.1, s__Mesosutterella massiliensis, 95.0, 93.93, 0.871	98.51	11	N/A	N/A
HybridSPAdes_4143_SemiBin_173	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides clarus	GCF_900129655.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides clarus	98.93	0.889	GCF_900129655.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides clarus	98.93	0.889	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_025147325.1, s__Bacteroides stercoris, 95.0, 87.16, 0.479; GCF_018390535.1, s__Bacteroides propionicigenes, 95.0, 86.86, 0.448; GCA_958432865.1, s__Bacteroides stercoris_A, 95.0, 86.69, 0.258; GCF_025146565.1, s__Bacteroides eggerthii, 95.0, 84.1, 0.316; GCF_000374365.1, s__Bacteroides gallinarum, 95.0, 83.7, 0.262; GCF_910578895.1, s__Bacteroides sp910578895, 95.0, 82.76, 0.186	38.09	11	N/A	N/A
HybridSPAdes_4143_SemiBin_216	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	GCA_000437595.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	96.99	0.86	GCA_000437595.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	96.99	0.86	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	55.92	11	N/A	N/A
HybridSPAdes_4143_SemiBin_63	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900553545	GCA_900553545.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900553545	98.6	0.924	GCA_900553545.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900553545	98.6	0.924	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_905214155.1, s__CAG-170 sp905214155, 95.0, 93.87, 0.696; GCA_900555665.1, s__CAG-170 sp900555665, 95.0, 87.3, 0.414; GCA_002298695.1, s__CAG-170 sp002298695, 95.0, 86.03, 0.308; GCA_934661135.1, s__CAG-170 sp934661135, 95.0, 84.37, 0.236	89.89	11	N/A	N/A
HybridSPAdes_5178_SemiBin_12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	GCF_000296465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	99.18	0.959	GCF_000296465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	99.18	0.959	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	79.61	11	N/A	N/A
